item_type,resource,item_key,pfe_present,pfe_expectation,pfe_codes,pfe_definition,us_core_v7_present,us_core_v7_expectation,us_core_v7_codes,us_core_v7_definition,comparison_status,notes
searchParam,REST,_content,Y,MAY,_content,http://hl7.org/fhir/SearchParameter/Resource-content,N,,,,pfe-only,US Core v7 CapabilityStatement has no REST-level searchParam entries
searchParam,REST,_id,Y,SHALL,_id,http://hl7.org/fhir/SearchParameter/Resource-id,N,,,,pfe-only,US Core v7 CapabilityStatement has no REST-level searchParam entries
searchParam,REST,_lastUpdated,Y,SHALL,_lastUpdated,http://hl7.org/fhir/SearchParameter/Resource-lastUpdated,N,,,,pfe-only,US Core v7 CapabilityStatement has no REST-level searchParam entries
searchParam,REST,_query,Y,MAY,_query,http://hl7.org/fhir/SearchParameter/Resource-query,N,,,,pfe-only,US Core v7 CapabilityStatement has no REST-level searchParam entries
searchParam,REST,_security,Y,MAY,_security,http://hl7.org/fhir/SearchParameter/Resource-security,N,,,,pfe-only,US Core v7 CapabilityStatement has no REST-level searchParam entries
searchParam,REST,_text,Y,MAY,_text,http://hl7.org/fhir/SearchParameter/DomainResource-text,N,,,,pfe-only,US Core v7 CapabilityStatement has no REST-level searchParam entries
searchParam,Condition,_lastUpdated,N,,,,Y,MAY,_lastUpdated,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-lastupdated,us-core-v7-only,
searchParam,Condition,abatement-date,Y,SHALL,abatement-date,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-abatement-date,Y,MAY,abatement-date,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-abatement-date,expectation-diff,
searchParam,Condition,asserted-date,N,,,,Y,MAY,asserted-date,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-asserted-date,us-core-v7-only,
searchParam,Condition,asserter,Y,MAY,asserter,http://hl7.org/fhir/SearchParameter/Condition-asserter,N,,,,pfe-only,
searchParam,Condition,bodySite,Y,MAY,bodySite,http://hl7.org/fhir/SearchParameter/Condition-body-site,N,,,,pfe-only,
searchParam,Condition,category,N,,,,Y,MAY,category,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-category,us-core-v7-only,
searchParam,Condition,clinical-status,Y,SHALL,clinical-status,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-clinical-status,Y,MAY,clinical-status,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-clinical-status,expectation-diff,
searchParam,Condition,code,Y,SHALL,code,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-code,Y,MAY,code,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-code,expectation-diff,
searchParam,Condition,encounter,Y,SHALL,encounter,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-encounter,Y,MAY,encounter,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-encounter,expectation-diff,
searchParam,Condition,identifier,Y,MAY,identifier,http://hl7.org/fhir/SearchParameter/clinical-identifier,N,,,,pfe-only,
searchParam,Condition,onset-date,Y,SHALL,onset-date,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-onset-date,Y,MAY,onset-date,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-onset-date,expectation-diff,
searchParam,Condition,patient,Y,SHALL,patient,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-patient,Y,SHALL,patient,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-patient,match,
searchParam,Condition,recorded-date,Y,SHALL,recorded-date,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-recorded-date,Y,MAY,recorded-date,http://hl7.org/fhir/us/core/SearchParameter/us-core-condition-recorded-date,expectation-diff,
combination,Condition,_lastUpdated+patient,N,,,,Y,SHOULD,patient+_lastUpdated,,us-core-v7-only,
combination,Condition,abatement-date+patient,Y,SHOULD,patient+abatement-date,,Y,SHOULD,patient+abatement-date,,match,
combination,Condition,asserted-date+patient,Y,SHOULD,patient+asserted-date,,Y,SHOULD,patient+asserted-date,,match,
combination,Condition,category+clinical-status+patient,Y,SHOULD,patient+category+clinical-status,,Y,SHOULD,patient+category+clinical-status,,match,
combination,Condition,category+encounter+patient,Y,SHOULD,patient+category+encounter,,Y,SHOULD,patient+category+encounter,,match,
combination,Condition,category+patient,Y,SHALL,patient+category,,Y,SHALL,patient+category,,match,
combination,Condition,clinical-status+patient,Y,SHOULD,patient+clinical-status,,Y,SHOULD,patient+clinical-status,,match,
combination,Condition,code+patient,Y,SHOULD,patient+code,,Y,SHOULD,patient+code,,match,
combination,Condition,onset-date+patient,Y,SHOULD,patient+onset-date,,Y,SHOULD,patient+onset-date,,match,
combination,Condition,patient+recorded-date,Y,SHOULD,patient+recorded-date,,Y,SHOULD,patient+recorded-date,,match,
searchParam,DeviceUseStatement,device,Y,MAY,device,http://hl7.org/fhir/SearchParameter/DeviceUseStatement-device,N,,,,pfe-only,resource not present in US Core v7 CapabilityStatement
searchParam,DeviceUseStatement,identifier,Y,MAY,identifier,http://hl7.org/fhir/SearchParameter/DeviceUseStatement-identifier,N,,,,pfe-only,resource not present in US Core v7 CapabilityStatement
searchParam,DeviceUseStatement,patient,Y,MAY,patient,http://hl7.org/fhir/SearchParameter/clinical-patient,N,,,,pfe-only,resource not present in US Core v7 CapabilityStatement
searchParam,DiagnosticReport,_lastUpdated,N,,,,Y,MAY,_lastUpdated,http://hl7.org/fhir/us/core/SearchParameter/us-core-diagnosticreport-lastupdated,us-core-v7-only,
searchParam,DiagnosticReport,category,Y,SHALL,category,http://hl7.org/fhir/us/core/SearchParameter/us-core-diagnosticreport-category,Y,MAY,category,http://hl7.org/fhir/us/core/SearchParameter/us-core-diagnosticreport-category,expectation-diff,
searchParam,DiagnosticReport,code,Y,SHALL,code,http://hl7.org/fhir/us/core/SearchParameter/us-core-diagnosticreport-code,Y,MAY,code,http://hl7.org/fhir/us/core/SearchParameter/us-core-diagnosticreport-code,expectation-diff,
searchParam,DiagnosticReport,date,Y,SHALL,date,http://hl7.org/fhir/us/core/SearchParameter/us-core-diagnosticreport-date,Y,MAY,date,http://hl7.org/fhir/us/core/SearchParameter/us-core-diagnosticreport-date,expectation-diff,
searchParam,DiagnosticReport,encounter,Y,MAY,encounter,http://hl7.org/fhir/SearchParameter/clinical-encounter,N,,,,pfe-only,
searchParam,DiagnosticReport,identifier,Y,MAY,identifier,http://hl7.org/fhir/SearchParameter/clinical-identifier,N,,,,pfe-only,
